Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;Palencia;0-4;5.317
Ambos sexos;Palencia;5-9;6.045
Ambos sexos;Palencia;10-14;6.424
Ambos sexos;Palencia;15-19;6.540
Ambos sexos;Palencia;20-24;6.822
Ambos sexos;Palencia;25-29;7.220
Ambos sexos;Palencia;30-34;8.307
Ambos sexos;Palencia;35-39;9.928
Ambos sexos;Palencia;40-44;11.517
Ambos sexos;Palencia;45-49;11.629
Ambos sexos;Palencia;50-54;12.701
Ambos sexos;Palencia;55-59;13.501
Ambos sexos;Palencia;60-64;13.007
Ambos sexos;Palencia;65-69;10.542
Ambos sexos;Palencia;70-74;8.841
Ambos sexos;Palencia;75-79;7.380
Ambos sexos;Palencia;80-84;5.619
Ambos sexos;Palencia;85-89;5.319
Ambos sexos;Palencia;90-94;2.720
Ambos sexos;Palencia;95-99;795
Ambos sexos;Palencia;100 y más;89
Ambos sexos;Salamanca;Total;328.883
Ambos sexos;Salamanca;0-4;10.420
Ambos sexos;Salamanca;5-9;12.457
Ambos sexos;Salamanca;10-14;14.121
Ambos sexos;Salamanca;15-19;14.003
Ambos sexos;Salamanca;20-24;14.510
Ambos sexos;Salamanca;25-29;15.492
Ambos sexos;Salamanca;30-34;16.593
Ambos sexos;Salamanca;35-39;19.638
Ambos sexos;Salamanca;40-44;22.703
Ambos sexos;Salamanca;45-49;24.619
Ambos sexos;Salamanca;50-54;26.156
Ambos sexos;Salamanca;55-59;26.345
Ambos sexos;Salamanca;60-64;23.546
Ambos sexos;Salamanca;65-69;19.536
Ambos sexos;Salamanca;70-74;18.553
Ambos sexos;Salamanca;75-79;16.533
Ambos sexos;Salamanca;80-84;13.688
Ambos sexos;Salamanca;85-89;11.781
Ambos sexos;Salamanca;90-94;6.032
Ambos sexos;Salamanca;95-99;1.872
Ambos sexos;Salamanca;100 y más;285
Ambos sexos;Segovia;Total;153.326
Ambos sexos;Segovia;0-4;5.595
Ambos sexos;Segovia;5-9;6.751
Ambos sexos;Segovia;10-14;7.434
Ambos sexos;Segovia;15-19;7.332
Ambos sexos;Segovia;20-24;7.568
Ambos sexos;Segovia;25-29;7.661
Ambos sexos;Segovia;30-34;8.049
Ambos sexos;Segovia;35-39;9.560
Ambos sexos;Segovia;40-44;11.397
Ambos sexos;Segovia;45-49;11.878
Ambos sexos;Segovia;50-54;12.519
Ambos sexos;Segovia;55-59;12.177
Ambos sexos;Segovia;60-64;10.536
Ambos sexos;Segovia;65-69;7.994
Ambos sexos;Segovia;70-74;7.169
Ambos sexos;Segovia;75-79;6.242
Ambos sexos;Segovia;80-84;5.312
